# Code book, raw-data file experiment ALEXIS 108: Extra experiment on detection.
# Detection of lag click: standard (s) = diotic single click, variable (v) = dichotic
# click pair (with fixed ild of -10 dB randomly pointing left or right). Peak of 
# standard fixed, peak of variable was varied. 
# Method: 2AFC with reminder. Possible 3-interval trials of equal probability: 
# <s, s, v-left>, <s, v-left, s>, <s, s, v-right>, <s, v-right, s>.
# Two response alternatives: "second", "third".
#
# Columns in raw data file 
# id: unique number for the listener = 1007
# date: date of testing
# time: test time for each trial
# day: rank order of date the experiment was conducted
# session: session number, there were 12 sessions, run on the same day
# trial: trial number within session, from 1 to whenever the staircase stopped
# tau: inter-click interval in ms
# ild: inter-aural-level difference of variable, always 10 dB
# ratio: dB-difference between lead and lag click of variable
# revno: reversal number, equals 0 of the trial was not a reversal
# speak: peak dB (re 0 dB) of standard (diotic single click)
# vpeak: peak dB (re 0 dB) of lag-click (dichotic click-pair)
# correct: Position of variable, in third interval (0) or second interval (1)
# answer: The answer given by the listener, "third" (0) or "second" (1). The answer 
#         was correct of answer == correct
#
id, date, time, day, session, trial, tau, ild, ratio, revno, speak, vpeak, correct, answer
1007, 2017-07-31, 14:48:24, 1,  3, 12, 0.25, 10.0, -20.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:48:26, 1,  3, 13, 0.25, 10.0, -25.000000, 3,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:48:29, 1,  3, 14, 0.25, 10.0, -20.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:48:32, 1,  3, 15, 0.25, 10.0, -20.000000, 4,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:48:34, 1,  3, 16, 0.25, 10.0, -23.000000, 5,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:48:37, 1,  3, 17, 0.25, 10.0, -20.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:48:39, 1,  3, 18, 0.25, 10.0, -20.000000, 0,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:48:42, 1,  3, 19, 0.25, 10.0, -17.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:48:45, 1,  3, 20, 0.25, 10.0, -17.000000, 6,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:48:47, 1,  3, 21, 0.25, 10.0, -20.000000, 7,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:48:50, 1,  3, 22, 0.25, 10.0, -17.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:48:53, 1,  3, 23, 0.25, 10.0, -14.000000, 0,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:48:56, 1,  3, 24, 0.25, 10.0, -11.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:48:58, 1,  3, 25, 0.25, 10.0, -8.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:01, 1,  3, 26, 0.25, 10.0, -8.000000, 8,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:49:04, 1,  3, 27, 0.25, 10.0, -11.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:06, 1,  3, 28, 0.25, 10.0, -11.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:09, 1,  3, 29, 0.25, 10.0, -14.000000, 9,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:49:12, 1,  3, 30, 0.25, 10.0, -13.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:49:15, 1,  3, 31, 0.25, 10.0, -13.000000, 0,    -18.872527,   -18.872527,   1,    0
1007, 2017-07-31, 14:49:17, 1,  3, 32, 0.25, 10.0, -12.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:49:20, 1,  3, 33, 0.25, 10.0, -12.000000, 0,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:49:23, 1,  3, 34, 0.25, 10.0, -11.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:25, 1,  3, 35, 0.25, 10.0, -11.000000, 10,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:28, 1,  3, 36, 0.25, 10.0, -12.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:30, 1,  3, 37, 0.25, 10.0, -12.000000, 11,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:49:33, 1,  3, 38, 0.25, 10.0, -11.000000, 0,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:49:36, 1,  3, 39, 0.25, 10.0, -10.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:38, 1,  3, 40, 0.25, 10.0, -10.000000, 12,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:49:41, 1,  3, 41, 0.25, 10.0, -11.000000, 13,    -18.872527,   -18.872527,   0,    1
1007, 2017-07-31, 14:49:44, 1,  3, 42, 0.25, 10.0, -10.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:49:47, 1,  3, 43, 0.25, 10.0, -10.000000, 14,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:50:28, 1,  4, 1, 10.00, 10.0, 10.000000, 0,    -18.872527,   -8.872527,   0,    0
1007, 2017-07-31, 14:50:30, 1,  4, 2, 10.00, 10.0, 5.000000, 0,    -18.872527,   -13.872527,   1,    1
1007, 2017-07-31, 14:50:33, 1,  4, 3, 10.00, 10.0, 0.000000, 0,    -18.872527,   -18.872527,   0,    0
1007, 2017-07-31, 14:50:35, 1,  4, 4, 10.00, 10.0, -5.000000, 0,    -18.872527,   -18.872527,   1,    1
1007, 2017-07-31, 14:50:38, 1,  4, 5, 10.00, 10.0, -10.000000, 0,    -18.872527,   -18.872527,   1,    1
